,spanish,english
0,que,that
1,de,from
2,no,no
3,a,to
4,la,the
5,el,the
6,es,is
7,y,Y
8,en,in
9,lo,it
10,un,a
11,por,for
12,qué,what
13,me,I
14,una,a
15,te,tea
16,los,the
17,se,I know
18,con,with
19,para,for
20,mi,me
21,está,this
22,si,Yes
23,bien,good
24,pero,but
25,yo,me
26,eso,that
27,las,the
28,sí,Yes
29,su,his
30,tu,you
31,aquí,here
32,del,of
33,al,to the
34,como,What
35,le,you
36,más,plus
37,esto,this
38,ya,already
39,todo,everything
40,esta,is
41,vamos,Let's go
42,muy,very
43,hay,there are
44,ahora,now
45,algo,something
46,estoy,I'm
47,tengo,I have
48,nos,us
49,tú,your
50,nada,any
51,cuando,when
52,ha,he has
53,este,this
54,sé,he
55,estás,these
56,así,So
57,puedo,may l
58,cómo,What
59,quiero,I want
60,sólo,alone
61,soy,am
62,tiene,has
63,gracias,Thank you
64,o,or
65,él,he
66,bueno,Okay
67,fue,it was
68,ser,to be
69,hacer,do
70,son,are
71,era,it was
72,eres,are
73,vez,time
74,tienes,have
75,creo,I believe
76,ella,her
77,he,He.
78,ese,that
79,voy,I go
80,puede,may
81,sabes,know
82,hola,hello
83,sus,their
84,porque,because
85,dios,God
86,quién,who
87,nunca,never
88,dónde,where
89,quieres,want
90,casa,House
91,favor,favor
92,esa,that
93,dos,two
94,tan,so
95,señor,Mister
96,tiempo,weather
97,verdad,truth
98,estaba,I was
99,mejor,better
100,están,is it so
101,va,he
102,hombre,man
103,usted,you
104,mucho,much
105,hace,does
106,entonces,then
107,siento,I feel
108,tenemos,we have
109,puedes,can
110,ahí,there
111,ti,you
112,vida,life
113,ver,see
114,alguien,someone
115,sr,Mr
116,hasta,until
117,sin,without
118,mí,my
119,solo,only
120,años,years
121,sobre,about
122,decir,tell
123,uno,one
124,siempre,forever
125,oh,Oh
126,ir,go
127,cosas,things
128,también,too
129,antes,before
130,has,HAS.
131,ni,neither
132,mis,MIS
133,día,day
134,estar,be
135,estamos,we're
136,noche,night
137,nadie,no one
138,otra,other
139,quiere,wants
140,parece,It seems
141,nosotros,us
142,poco,little bit
143,padre,dad
144,trabajo,job
145,gente,people
146,mira,look
147,vas,you go
148,sea,be
149,les,them
150,donde,where
151,mismo,same
152,hecho,done
153,ellos,they
154,dijo,He said
155,pasa,happens
156,dinero,money
157,hijo,son
158,tal,such
159,otro,other
160,hablar,speak
161,seguro,sure
162,claro,Clear
163,estas,are
164,lugar,place
165,mundo,world
166,amigo,friend
167,espera,waiting
168,mierda,shit
169,han,they have
170,tus,your
171,sabe,knows
172,después,after
173,momento,moment
174,desde,from
175,fuera,out of
176,cosa,thing
177,tipo,type
178,mañana,morning
179,podemos,we can
180,dije,said
181,gran,great
182,necesito,needed
183,estado,condition
184,podría,might
185,acuerdo,agreement
186,papá,father
187,tener,have
188,dice,He says
189,mío,Own
190,crees,you think
191,buena,good
192,gusta,like
193,nuestro,our
194,nuevo,new
195,será,will be
196,haciendo,making
197,días,days
198,nombre,Name
199,buen,good
200,había,there was
201,ven,come
202,tres,three
203,menos,less
204,debe,should
205,tenía,I had
206,mal,evil
207,conmigo,with me
208,madre,mother
209,hoy,today
210,quien,who
211,sido,been
212,mamá,mother
213,tienen,have
214,luego,later
215,todas,all
216,allí,there
217,toda,all
218,hora,hour
219,mujer,woman
220,visto,viewed
221,haces,you do
222,importa,import
223,contigo,with you
224,ve,go
225,tarde,late
226,oye,hears
227,parte,part
228,haber,to have
229,hombres,mens
230,problema,trouble
231,mas,more
232,saber,to know
233,quería,wanted
234,aún,still
235,veces,times
236,nuestra,our
237,hacerlo,do it
238,cada,each
239,hizo,made
240,veo,I see
241,tanto,so much
242,razón,reason
243,ustedes,your
244,idea,idea
245,esos,those
246,quizá,maybe
247,debo,I must
248,alguna,some
249,cierto,certain
250,ud,You
251,muerto,dead
252,unos,some
253,estos,these
254,salir,get out
255,policía,police
256,realmente,Really
257,demasiado,too
258,familia,family
259,pueden,may
260,cabeza,head
261,hemos,we have
262,amigos,friends
263,chica,girl
264,cariño,sweetie
265,lado,side
266,allá,there
267,entre,Come in
268,minutos,minutes
269,digo,say
270,algún,some
271,serio,I laughed
272,cuidado,watch out
273,pasó,He passed
274,buenas,good
275,somos,are
276,amor,love
277,puerta,door
278,ves,you see
279,vaya,Wow
280,ah,ah
281,suerte,luck
282,eh,Hey
283,rápido,Quick
284,cuenta,bill
285,quizás,maybe
286,esas,those
287,pues,well
288,pasado,last
289,pensé,I thought
290,todavía,yet
291,hermano,brother
292,debes,you should
293,casi,almost
294,forma,shape
295,aqui,here
296,chico,guy
297,ok,okay
298,dicho,saying
299,nueva,new
300,sabía,I knew
301,muchas,many
302,dentro,within
303,hice,I did
304,contra,against
305,auto,car
306,camino,road
307,ayuda,help
308,primera,first
309,hacia,toward
310,vi,saw
311,miedo,afraid
312,adiós,bye
313,primero,first
314,debería,it should
315,poder,can
316,niños,kids
317,sería,would
318,historia,history
319,hey,Hey
320,mientras,While
321,ciudad,town
322,dijiste,said
323,espero,I hope
324,cuánto,how many
325,esposa,wife
326,pronto,early
327,chicos,Boys
328,cualquier,any
329,viejo,old
330,debemos,must
331,deja,let
332,año,year
333,muerte,death
334,hablando,speaking
335,manos,hands
336,da,gives
337,loco,mad
338,problemas,problems
339,mano,hand
340,guerra,war
341,semana,week
342,pasar,pass
343,vale,okay
344,cuál,which one
345,viene,comes
346,volver,return
347,toma,taking
348,caso,case
349,agua,Water
350,haré,I will do
351,vete,go away
352,entiendo,I get it
353,horas,hours
354,personas,persons
355,capitán,captain
356,adelante,ahead
357,niño,little boy
358,listo,ready
359,noches,nights
360,buenos,good
361,iba,I was going
362,juntos,together
363,dame,give to me
364,único,unique
365,déjame,let me
366,cerca,near
367,otros,others
368,sigue,follow
369,grande,big
370,arriba,above
371,jefe,chief
372,habla,speaks
373,supongo,I suppose
374,manera,manner
375,quieren,They want.
376,significa,it means
377,sangre,blood
378,fin,end
379,bajo,under
380,llama,call
381,venir,come
382,morir,To die
383,importante,important
384,hiciste,did
385,ojos,eyes
386,escucha,listen
387,entrar,get in
388,ningún,No.
389,corazón,heart
390,diablos,Devils
391,necesitamos,we need
392,atrás,behind
393,durante,during
394,dices,You say
395,nuestros,our
396,persona,person
397,abajo,below
398,dr,Dr.
399,hija,daughter
400,dejar,let
401,necesita,needs to
402,llegar,arrive
403,hago,I make
404,señora,Ms
405,haya,is
406,suficiente,enough
407,doctor,doctor
408,gustaría,would like
409,tierra,Earth
410,cara,expensive
411,siquiera,even
412,genial,cool
413,cree,CREE.
414,tomar,have
415,equipo,team
416,justo,just
417,juego,play
418,ninguna,none
419,matar,kill
420,cinco,five
421,dicen,they say
422,amo,love
423,cuándo,when
424,pequeño,small
425,algunos,Some
426,conozco,know
427,clase,class
428,maldito,damned
429,unas,nails
430,muchos,Many
431,hubiera,had
432,segundo,second
433,aunque,even if
434,pueda,can.
435,dime,tell me
436,igual,same
437,comida,meal
438,ay,Oh
439,cuerpo,Body
440,encontrar,meet
441,fuerte,strong
442,vuelta,return
443,venga,come on
444,creer,believe
445,realidad,reality
446,saben,Saben.
447,puta,bitch
448,deberías,you should
449,pregunta,question
450,fui,I was
451,cuatro,four
452,sra,Ms
453,primer,first
454,trabajar,to work
455,e,and
456,hagas,you do
457,alto,high
458,maldita,damn
459,comer,to eat
460,número,number
461,dar,give
462,necesitas,you need
463,oportunidad,chance
464,punto,point
465,misma,one.
466,última,last.
467,afuera,outside
468,mujeres,women
469,pensar,think
470,fueron,They were
471,difícil,hard
472,vivir,to live
473,paso,He passed
474,malo,bad
475,estabas,You were there
476,vivo,alive
477,haga,make
478,queda,is left over
479,hijos,children
480,mayor,higher
481,fiesta,party
482,hacen,make
483,medio,medium
484,algunas,some
485,basta,Enough
486,arma,weapon
487,vino,wine
488,meses,months
489,cuarto,bedroom
490,éste,this
491,escuela,school
492,esté,this
493,dólares,Dollars
494,tío,uncle
495,posible,possible
496,tuve,I had
497,fácil,easy
498,preocupes,worry
499,luz,light
500,eran,were
501,carajo,Carajo.
502,final,final
503,lista,ready
504,trata,about
505,armas,weapons
506,hermana,sister
507,exactamente,exactly
508,chicas,girls
509,podía,I could
510,bastante,Quite
511,seguridad,security
512,pasando,going
513,esperando,waiting
514,acá,here
515,teléfono,telephone
516,perro,dog
517,fuego,fire
518,murió,he died
519,tampoco,either
520,sola,alone
521,estuvo,he was
522,verte,to see you
523,iré,I will go
524,tenido,Dyed
525,veras,you'll see
526,adónde,where to
527,buscando,searching
528,cuanto,how much
529,padres,fathers
530,paz,peace
531,demonios,demons
532,estará,will be
533,cual,which
534,perdón,sorry
535,asi,So
536,jugar,play
537,pensando,thinking
538,esperar,expect
539,sabemos,we know
540,recuerdo,memory
541,par,pair
542,joven,young
543,seguir,"follow, continue"
544,pueblo,town
545,tenga,have
546,caballeros,gentlemen
547,idiota,moron
548,dio,gave
549,bebé,baby
550,única,only
551,lejos,far
552,nuestras,ours
553,plan,plan
554,pienso,I think
555,sentido,sense
556,dormir,sleep
557,digas,you say
558,palabra,word
559,correcto,Right
560,control,control
561,vemos,we see
562,entiendes,you understand
563,país,country
564,seis,six
565,último,latest
566,ésta,is
567,diga,SIGE.
568,podrías,could you
569,pequeña,little
570,cállate,shut
571,trato,treatment
572,rey,King
573,sucede,happens
574,muchachos,Boys
575,jamás,Never
576,cama,bed
577,srta,Ms
578,ayudar,help
579,acerca,about
580,di,gave
581,cambio,change
582,falta,lack
583,hospital,hospital
584,lleva,carries
585,presidente,President
586,mil,thousand
587,gusto,taste
588,conoces,you know
589,diciendo,saying
590,os,you
591,ido,gone
592,general,general
593,extraño,strange
594,semanas,weeks
595,coche,car
596,peor,worse
597,mucha,a lot
598,disculpe,excuse me
599,diré,I'll say
600,anoche,last night
601,perder,to lose
602,vámonos,Let's go
603,nave,ship
604,cielo,sky
605,habrá,there will be
606,orden,order
607,segura,safe
608,querida,Dear
609,niña,girl
610,increíble,incredible
611,además,further
612,libro,book
613,calle,Street
614,café,coffee
615,piensas,You think
616,hacemos,we make
617,especial,special
618,queremos,we want
619,irme,go
620,perfecto,perfect
621,buscar,search for
622,odio,hate
623,piensa,think
624,oficina,office
625,hablas,speak
626,libre,free
627,agente,agent
628,york,york
629,llamar,to call
630,mala,bad
631,detrás,behind
632,viste,dresses
633,dile,tell him
634,grandes,big
635,recuerdas,remember
636,real,real
637,estaban,They were
638,mía,mine
639,frente,forehead
640,perdido,lost
641,llamo,I call
642,muertos,dead
643,millones,millions
644,asesino,assassin
645,sueño,dream
646,quisiera,I'd like
647,habría,there would be
648,hará,he will do
649,viaje,trip
650,probablemente,probably
651,resto,rest
652,estaré,I will be
653,maldición,curse
654,lamento,lament
655,muchacho,young guy
656,avión,airplane
657,ropa,clothing
658,fuerza,force
659,llamado,called
660,oído,hearing
661,dado,dice
662,encima,on
663,negro,black
664,usar,use
665,información,information
666,uds,You
667,preguntas,questions
668,tuvo,He had
669,secreto,secret
670,vuelve,returns
671,miren,Look
672,quieras,want.
673,haría,would do
674,acaba,just
675,otras,Others
676,incluso,even
677,sientes,you feel
678,deberíamos,we should
679,haz,do
680,decirte,tell you
681,boca,mouth
682,dolor,pain
683,baño,bath
684,adentro,inside
685,profesor,teacher
686,habitación,bedroom
687,daño,hurt
688,tuyo,of yours
689,seas,Seas.
690,noticias,news
691,demás,the rest
692,querido,Dear
693,duro,Lasted
694,poner,set
695,prueba,proof
696,mire,Look
697,tonto,foolish
698,campo,country
699,siendo,being
700,diez,ten
701,ése,that
702,tranquilo,calm
703,acabó,just
704,derecho,right
705,placer,pleasure
706,recuerda,remember
707,estuve,I was
708,tratando,trying
709,ejército,army
710,futuro,future
711,llevar,bring
712,compañía,company
713,venido,I come
714,listos,ready
715,haremos,will
716,sitio,site
717,verlo,see him
718,puesto,Market Stall
719,atención,attention
720,sino,otherwise
721,cambiar,change
722,error,error
723,blanco,White
724,raro,weird
725,palabras,words
726,llegó,I arrive
727,sal,Salt
728,pase,happens
729,mente,mind
730,sistema,system
731,película,film
732,anda,Anda
733,ello,it
734,negocio,business
735,novia,girlfriend
736,permiso,Excuse me
737,creí,I believed.
738,suena,sounds
739,ocurre,occurred
740,oficial,official
741,espere,Wait
742,aire,air
743,mató,killed
744,regresar,to get back
745,vio,he saw
746,hazlo,do it
747,trasero,rear
748,grupo,group
749,entendido,understood
750,señorita,miss
751,música,music
752,perra,bitch
753,conoce,known
754,empezar,start
755,siente,Feel
756,acabo,finished
757,estúpido,stupid
758,diferente,different
759,traje,suit
760,modo,mode
761,encontré,I found
762,mensaje,message
763,llamada,call
764,navidad,Christmas
765,eras,ages
766,pena,pain
767,largo,long
768,entra,enters
769,piso,floor
770,foto,Photo
771,dijeron,they said
772,médico,doctor
773,accidente,accident
774,fuiste,you were
775,imposible,impossible
776,podríamos,we could
777,línea,line
778,propia,own
779,barco,boat
780,ganar,to win
781,normal,normal
782,segundos,seconds
783,vive,it lives
784,mitad,half
785,quiera,want
786,tras,after
787,decirle,tell him.
788,lindo,cute
789,funciona,it works
790,programa,Program
791,vine,came
792,abre,opens
793,sean,Sean.
794,pagar,to pay
795,fotos,Photos
796,centro,center
797,supone,Suppose
798,basura,trash
799,situación,situation
800,mejores,top
801,vienen,they come
802,encanta,loves
803,marido,husband
804,personal,personal
805,maestro,teacher
806,ataque,attack
807,culo,ass
808,dale,Go ahead
809,pie,foot
810,conseguir,get
811,trabajando,working
812,gracioso,funny
813,dejó,let
814,pudo,he could
815,derecha,right
816,izquierda,left
817,próxima,Next
818,pobre,poor
819,respuesta,answer
820,tipos,types
821,sentir,feel
822,tenías,You had
823,pude,I could
824,darle,give him
825,voz,voice
826,amiga,friend
827,gustan,like
828,vista,view
829,salvo,except
830,loca,crazy
831,hotel,hotel
832,hicieron,they made
833,ten,Ten.
834,temo,fear
835,señal,sign
836,pelo,hair
837,llevo,I wear
838,ayer,Yesterday
839,das,you give
840,nena,Chick
841,servicio,service
842,tren,train
843,bonito,beautiful
844,mes,month
845,tendrá,will have
846,tendrás,you will have
847,edad,age
848,ellas,they
849,hermosa,beautifull
850,honor,honor
851,simplemente,simply
852,llamas,calls
853,tengas,You have
854,corre,run
855,baja,short
856,sol,Sun
857,siéntate,Sit down
858,dan,Dan.
859,humano,human
860,divertido,fun
861,sexo,sex
862,vuelto,turned
863,peligro,danger
864,mesa,desk
865,siguiente,following
866,hablo,I speak
867,disculpa,excuse
868,decirme,tell me
869,caja,cash register
870,negocios,business
871,misión,mission
872,silencio,be quiet
873,sale,comes out
874,llegado,arrived
875,estaría,It would
876,regreso,Return
877,media,half
878,estan,are
